pwm,force mean,std,t1,t2,volt
1100,14.61,0.49,1,1,12
1125,13.08,0.43,1,1,12
1150,11.62,0.36,1,1,12
1175,10.33,0.34,1,1,12
1200,8.92,1.11,1,1,12
1225,7.01,1.12,1,1,12
1250,6.27,0.28,1,1,12
1275,5.28,0.39,1,1,12
1300,3.84,0.31,1,1,12
1325,2.72,0.18,1,1,12
1350,2.02,0.22,1,1,12
1375,1.18,0.17,1,1,12
1400,0.53,0.21,1,1,12
1425,-0.14,0.05,1,1,12
1450,-0.32,0.08,1,1,12
1475,-1.76,3.36,1,1,12
1900,-13.02,0.28,1,1,12
1875,-11.99,0.26,1,1,12
1850,-10.84,0.32,1,1,12
1825,-9.71,0.3,1,1,12
1800,-8.68,0.24,1,1,12
1775,-7.74,0.23,1,1,12
1750,-6.8,0.22,1,1,12
1725,-5.67,0.22,1,1,12
1700,-4.83,0.27,1,1,12
1675,-3.88,0.18,1,1,12
1650,-3.17,0.19,1,1,12
1625,-2.41,0.18,1,1,12
1600,-1.69,0.16,1,1,12
1575,-1.06,0.11,1,1,12
1550,-0.63,0.04,1,1,12
1525,-0.45,0.03,1,1,12
1500,0,0,1,0,12
1100,18.31,0.36,1,1,14
1125,16.71,0.46,1,1,14
1150,14.86,0.51,1,1,14
1175,12.04,1.31,1,1,14
1200,11.4,0.45,1,1,14
1225,10.14,0.27,1,1,14
1250,8.42,0.68,1,1,14
1275,6.57,0.31,1,1,14
1300,5.13,0.56,1,1,14
1325,3.89,0.37,1,1,14
1350,2.7,0.21,1,1,14
1375,1.77,0.21,1,1,14
1400,0.96,0.26,1,1,14
1425,0.13,0.11,1,1,14
1450,-0.29,0.08,1,1,14
1475,-2.02,4.01,1,1,14
1900,-15.6,0.33,1,1,14
1875,-14.18,0.3,1,1,14
1850,-13.15,0.32,1,1,14
1825,-12.03,0.28,1,1,14
1800,-10.65,0.37,1,1,14
1775,-9.5,0.28,1,1,14
1750,-8.27,0.38,1,1,14
1725,-6.91,0.26,1,1,14
1700,-5.87,0.27,1,1,14
1675,-4.82,0.24,1,1,14
1650,-3.89,0.23,1,1,14
1625,-2.96,0.23,1,1,14
1600,-2.05,0.19,1,1,14
1575,-1.28,0.15,1,1,14
1550,-0.73,0.06,1,1,14
1525,-0.51,0.02,1,1,14
1500,0,0,1,0,14
1100,21.58,0.41,1,1,16
1125,19.81,0.45,1,1,16
1150,17.87,0.58,1,1,16
1175,15.73,0.65,1,1,16
1200,13.56,0.48,1,1,16
1225,12.12,0.61,1,1,16
1250,10.2,0.62,1,1,16
1275,8.42,0.59,1,1,16
1300,6.88,0.34,1,1,16
1325,5.24,0.45,1,1,16
1350,3.78,0.41,1,1,16
1375,2.36,0.3,1,1,16
1400,1.24,0.25,1,1,16
1425,0.31,0.16,1,1,16
1450,-0.34,0.05,1,1,16
1475,-2.18,4.5,1,1,16
1900,-17.71,0.27,1,1,16
1875,-16.52,0.6,1,1,16
1850,-15.59,0.4,1,1,16
1825,-13.93,0.48,1,1,16
1800,-12.65,0.37,1,1,16
1775,-11.33,0.29,1,1,16
1750,-10.08,0.45,1,1,16
1725,-8.56,0.37,1,1,16
1700,-7.15,0.32,1,1,16
1675,-5.79,0.29,1,1,16
1650,-4.62,0.26,1,1,16
1625,-3.55,0.29,1,1,16
1600,-2.43,0.23,1,1,16
1575,-1.47,0.19,1,1,16
1550,-0.78,0.06,1,1,16
1525,0.02,1.89,1,1,16
1500,0,0,1,0,16
1100,24.05,0.59,1,1,18
1125,22.66,0.58,1,1,18
1150,20.51,0.46,1,1,18
1175,18.57,0.67,1,1,18
1200,16.03,0.53,1,1,18
1225,14.16,0.52,1,1,18
1250,11.74,0.56,1,1,18
1275,9.58,0.45,1,1,18
1300,8.18,0.46,1,1,18
1325,6.39,0.48,1,1,18
1350,4.49,0.43,1,1,18
1375,2.77,0.3,1,1,18
1400,1.68,0.27,1,1,18
1425,0.63,0.22,1,1,18
1450,-0.19,0.09,1,1,18
1475,-2.53,5.21,1,1,18
1900,-19.44,0.45,1,1,18
1875,-18.46,0.34,1,1,18
1850,-17.35,0.57,1,1,18
1825,-15.81,0.42,1,1,18
1800,-14.38,0.41,1,1,18
1775,-12.53,0.38,1,1,18
1750,-10.83,0.39,1,1,18
1725,-9.19,0.38,1,1,18
1700,-7.62,0.31,1,1,18
1675,-6.44,0.31,1,1,18
1650,-5.23,0.3,1,1,18
1625,-4.08,0.3,1,1,18
1600,-2.89,0.29,1,1,18
1575,-1.78,0.22,1,1,18
1550,-0.93,0.1,1,1,18
1525,-0.54,0.02,1,1,18
1500,0,0,1,0,18
